    t, "Nx2D", "Nx2E", "Nx2F"
    0, -5615, 9043, -12657
    1, -6063, 9035, -11831
    2, -6564, 9026, -11127
    3, -7038, 9035, -10565
    4, -6924, 8894, -10767
    5, -6907, 8929, -10618
    6, -6824, 9316, -10574
    7, -6824, 9518, -10574
    8, -6880, 9729, -10574
    9, -6863, 9887, -10609
   10, -6898, 9878, -10574
   11, -7065, 9878, -10416
   12, -6880, 9878, -10495
   13, -6696, 9878, -10908
   14, -6406, 9878, -11259
   15, -6159, 9878, -11690
   16, -5843, 9878, -12191
   17, -5659, 9870, -12604
   18, -5782, 9905, -12261
   19, -5817, 9878, -12165
   20, -5808, 9755, -12191
   21, -5799, 9404, -12200
   22, -5746, 9149, -12349
   23, -5650, 8868, -12446
   24, -5615, 9043, -12657
   25, -6063, 9035, -11831
